22,dnsbpf,2015-07-04
4,dnsbpf,2015-07-05
92,dnsbpf,2015-07-06
6,dnsbpf,2015-07-07
10,dnsbpf,2015-07-08
89,dnsbpf,2015-07-09
35,dnsbpf,2015-07-10
71,dnsbpf,2015-07-11
34,dnsbpf,2015-07-12
2,dnsbpf,2015-07-14
28,dnsbpf,2015-07-15
13,dnsbpf,2015-07-16
40,dnsbpf,2015-07-17
20,dnsbpf,2015-07-19
26,dnsbpf,2015-07-20
2,dnsbpf,2015-07-21
56,dnsbpf,2015-07-22
52,dnsbpf,2015-07-23
3,dnsbpf,2015-07-25
26,dnsbpf,2015-07-26
6,dnsbpf,2015-07-28
2,dnsbpf,2015-07-30
3,dnsbpf,2015-07-31
2,dnsbpf,2015-08-02
2,dnsbpf,2015-08-03
2,dnsbpf,2015-08-04
4,dnsbpf,2015-08-05
7,dnsbpf,2015-08-08
2,dnsbpf,2015-08-09
1,dnsbpf,2015-08-10
2,dnsbpf,2015-08-12
6,dnsbpf,2015-08-13
5,dnsbpf,2015-08-14
4,dnsbpf,2015-08-15
2,dnsbpf,2015-08-17
2,dnsbpf,2015-08-18
2,dnsbpf,2015-08-19
4,dnsbpf,2015-08-20
7,dnsbpf,2015-08-22
1,dnsbpf,2015-08-24
2,dnsbpf,2015-08-27
4,dnsbpf,2015-09-01
4,dnsbpf,2015-09-03
4,dnsbpf,2015-09-04
3,dnsbpf,2015-09-07
10,dnsbpf,2015-09-09
2,dnsbpf,2015-09-10
1,dnsbpf,2015-09-11
8,dnsbpf,2015-09-12
9,dnsbpf,2015-09-13
4,dnsbpf,2015-09-14
5,dnsbpf,2015-09-15
7,dnsbpf,2015-09-16
32,dnsbpf,2015-09-17
22,dnsbpf,2015-09-18
8,dnsbpf,2015-09-19
24,dnsbpf,2015-09-20
8,dnsbpf,2015-09-21
8,dnsbpf,2015-09-22
12,dnsbpf,2015-09-24
19,dnsbpf,2015-09-29
9,dnsbpf,2015-09-30
16,dnsbpf,2015-10-01
9,dnsbpf,2015-10-02
1,dnsbpf,2015-10-03
1,dnsbpf,2015-10-04
8,dnsbpf,2015-10-07
2,dnsbpf,2015-10-09
23,dnsbpf,2015-10-10
10,dnsbpf,2015-10-12
3,dnsbpf,2015-10-13
11,dnsbpf,2015-10-14
20,dnsbpf,2015-10-15
10,dnsbpf,2015-10-16
2,dnsbpf,2015-10-17
13,dnsbpf,2015-10-18
13,dnsbpf,2015-10-19
18,dnsbpf,2015-10-20
11,dnsbpf,2015-10-21
9,dnsbpf,2015-10-22
4,dnsbpf,2015-10-23
7,dnsbpf,2015-10-24
7,dnsbpf,2015-10-25
9,dnsbpf,2015-10-26
12,dnsbpf,2015-10-27
7,dnsbpf,2015-10-28
8,dnsbpf,2015-10-29
4,dnsbpf,2015-10-30
8,dnsbpf,2015-10-31
2,dnsbpf,2015-11-01
3,dnsbpf,2015-11-02
9,dnsbpf,2015-11-03
9,dnsbpf,2015-11-04
5,dnsbpf,2015-11-05
11,dnsbpf,2015-11-06
2,dnsbpf,2015-11-07
5,dnsbpf,2015-11-08
13,dnsbpf,2015-11-09
21,dnsbpf,2015-11-10
3,dnsbpf,2015-11-11
12,dnsbpf,2015-11-12
4,dnsbpf,2015-11-14
1,dnsbpf,2015-11-15
5,dnsbpf,2015-11-17
10,dnsbpf,2015-11-18
1,dnsbpf,2015-11-19
2,dnsbpf,2015-11-21
3,dnsbpf,2015-11-23
13,dnsbpf,2015-11-24
12,dnsbpf,2015-11-25
9,dnsbpf,2015-11-26
8,dnsbpf,2015-11-27
2,dnsbpf,2015-11-28
1,dnsbpf,2015-11-29
4,dnsbpf,2015-11-30
9,dnsbpf,2015-12-01
6,dnsbpf,2015-12-02
7,dnsbpf,2015-12-03
3,dnsbpf,2015-12-04
1,dnsbpf,2015-12-05
2,dnsbpf,2015-12-06
2,dnsbpf,2015-12-07
7,dnsbpf,2015-12-08
5,dnsbpf,2015-12-09
6,dnsbpf,2015-12-10
4,dnsbpf,2015-12-11
8,dnsbpf,2015-12-12
4,dnsbpf,2015-12-13
2,dnsbpf,2015-12-14
1,dnsbpf,2015-12-15
8,dnsbpf,2015-12-16
2,dnsbpf,2015-12-17
4,dnsbpf,2015-12-18
4,dnsbpf,2015-12-19
6,dnsbpf,2015-12-20
10,dnsbpf,2015-12-21
2,dnsbpf,2015-12-22
5,dnsbpf,2015-12-23
4,dnsbpf,2015-12-25
2,dnsbpf,2015-12-26
4,dnsbpf,2015-12-28
14,dnsbpf,2015-12-29
2,dnsbpf,2015-12-30
8,dnsbpf,2016-01-01
2,dnsbpf,2016-01-04
12,dnsbpf,2016-01-05
10,dnsbpf,2016-01-07
8,dnsbpf,2016-01-09
2,dnsbpf,2016-01-11
10,dnsbpf,2016-01-13
4,dnsbpf,2016-01-14
